Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2023 07 12 18	34.919
2023 07 12 19	34.919
2023 07 12 20	34.919
2023 07 12 21	34.919
2023 07 12 22	34.919
2023 07 12 23	34.919
2023 07 13 00	34.935
2023 07 13 01	34.935
2023 07 13 02	34.935
2023 07 13 03	34.935
2023 07 13 04	34.935
2023 07 13 05	34.935
2023 07 13 06	34.935
2023 07 13 07	34.935
2023 07 13 08	34.935
2023 07 13 09	34.935
2023 07 13 10	34.935
2023 07 13 11	34.935
2023 07 13 12	34.935
2023 07 13 13	34.935
2023 07 13 14	34.935
2023 07 13 15	34.935
2023 07 13 16	34.935
2023 07 13 17	34.935
2023 07 13 18	34.935
2023 07 13 19	34.935
2023 07 13 20	34.935
2023 07 13 21	34.935
2023 07 13 22	34.935
2023 07 13 23	34.935
2023 07 14 00	35.093
2023 07 14 01	35.093
2023 07 14 02	35.093
2023 07 14 03	35.093
2023 07 14 04	35.093
2023 07 14 05	35.093
2023 07 14 06	35.093
2023 07 14 07	35.093
2023 07 14 08	35.093
2023 07 14 09	35.093
2023 07 14 10	35.093
2023 07 14 11	35.093
2023 07 14 12	35.093
2023 07 14 13	35.093
2023 07 14 14	35.093
2023 07 14 15	35.093
2023 07 14 16	35.093
2023 07 14 17	35.093
2023 07 14 18	35.093
2023 07 14 19	35.093
2023 07 14 20	35.093
2023 07 14 21	35.093
2023 07 14 22	35.093
2023 07 14 23	35.093
2023 07 15 00	35.197
2023 07 15 01	35.197
2023 07 15 02	35.197
2023 07 15 03	35.197
2023 07 15 04	35.197
2023 07 15 05	35.197
2023 07 15 06	35.197
2023 07 15 07	35.197
2023 07 15 08	35.197
2023 07 15 09	35.197
2023 07 15 10	35.197
2023 07 15 11	35.197
2023 07 15 12	35.197
2023 07 15 13	35.197
2023 07 15 14	35.197
2023 07 15 15	35.197
2023 07 15 16	35.197
2023 07 15 17	35.197
2023 07 15 18	35.197
2023 07 15 19	35.197
2023 07 15 20	35.197
2023 07 15 21	35.197
2023 07 15 22	35.197
2023 07 15 23	35.197
2023 07 16 00	35.187
2023 07 16 01	35.187
2023 07 16 02	35.187
2023 07 16 03	35.187
2023 07 16 04	35.187
2023 07 16 05	35.187
2023 07 16 06	35.187
2023 07 16 07	35.187
2023 07 16 08	35.187
