Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2023 07 12 12	20.425
2023 07 12 13	20.446
2023 07 12 14	20.481
2023 07 12 15	20.53
2023 07 12 16	20.545
2023 07 12 17	20.535
2023 07 12 18	20.524
2023 07 12 19	20.498
2023 07 12 20	20.453
2023 07 12 21	20.399
2023 07 12 22	20.346
2023 07 12 23	20.3
2023 07 13 00	20.264
2023 07 13 01	20.228
2023 07 13 02	20.191
2023 07 13 03	20.155
2023 07 13 04	20.122
2023 07 13 05	20.092
2023 07 13 06	20.067
2023 07 13 07	20.062
2023 07 13 08	20.087
2023 07 13 09	20.137
2023 07 13 10	20.204
2023 07 13 11	20.273
2023 07 13 12	20.319
2023 07 13 13	20.36
2023 07 13 14	20.387
2023 07 13 15	20.393
2023 07 13 16	20.386
2023 07 13 17	20.363
2023 07 13 18	20.322
2023 07 13 19	20.265
2023 07 13 20	20.195
2023 07 13 21	20.126
2023 07 13 22	20.061
2023 07 13 23	20.002
2023 07 14 00	19.953
2023 07 14 01	19.915
2023 07 14 02	19.888
2023 07 14 03	19.872
2023 07 14 04	19.856
2023 07 14 05	19.849
2023 07 14 06	19.846
2023 07 14 07	19.867
2023 07 14 08	19.928
2023 07 14 09	20.036
2023 07 14 10	20.182
2023 07 14 11	20.352
2023 07 14 12	20.511
2023 07 14 13	20.535
2023 07 14 14	20.518
2023 07 14 15	20.462
2023 07 14 16	20.404
2023 07 14 17	20.39
2023 07 14 18	20.413
2023 07 14 19	20.439
2023 07 14 20	20.459
2023 07 14 21	20.474
2023 07 14 22	20.482
2023 07 14 23	20.481
2023 07 15 00	20.468
2023 07 15 01	20.453
2023 07 15 02	20.435
2023 07 15 03	20.42
2023 07 15 04	20.409
2023 07 15 05	20.402
2023 07 15 06	20.398
2023 07 15 07	20.399
2023 07 15 08	20.409
2023 07 15 09	20.42
2023 07 15 10	20.437
2023 07 15 11	20.455
2023 07 15 12	20.475
2023 07 15 13	20.495
2023 07 15 14	20.511
2023 07 15 15	20.527
2023 07 15 16	20.541
2023 07 15 17	20.55
2023 07 15 18	20.553
2023 07 15 19	20.55
2023 07 15 20	20.537
2023 07 15 21	20.521
2023 07 15 22	20.503
2023 07 15 23	20.487
2023 07 16 00	20.478
2023 07 16 01	20.473
2023 07 16 02	20.466
2023 07 16 03	20.459
2023 07 16 04	20.453
2023 07 16 05	20.448
2023 07 16 06	20.445
2023 07 16 07	20.446
2023 07 16 08	20.454
2023 07 16 09	20.481
2023 07 16 10	20.534
2023 07 16 11	20.589
2023 07 16 12	20.619
2023 07 16 13	20.657
2023 07 16 14	20.716
2023 07 16 15	20.78
2023 07 16 16	20.815
2023 07 16 17	20.825
2023 07 16 18	20.822
2023 07 16 19	20.797
2023 07 16 20	20.76
2023 07 16 21	20.724
2023 07 16 22	20.691
2023 07 16 23	20.661
2023 07 17 00	20.633
2023 07 17 01	20.609
2023 07 17 02	20.59
2023 07 17 03	20.573
2023 07 17 04	20.558
2023 07 17 05	20.547
2023 07 17 06	20.538
2023 07 17 07	20.533
2023 07 17 08	20.539
2023 07 17 09	20.567
2023 07 17 10	20.606
2023 07 17 11	20.644
2023 07 17 12	20.678
2023 07 17 13	20.713
2023 07 17 14	20.749
2023 07 17 15	20.768
2023 07 17 16	20.775
2023 07 17 17	20.773
2023 07 17 18	20.756
2023 07 17 19	20.724
2023 07 17 20	20.682
2023 07 17 21	20.637
2023 07 17 22	20.593
2023 07 17 23	20.553
2023 07 18 00	20.515
2023 07 18 01	20.486
2023 07 18 02	20.459
2023 07 18 03	20.432
2023 07 18 04	20.409
2023 07 18 05	20.388
