Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 07 04 15	0.032	199.53
2023 07 04 16	0.006	269.99
2023 07 04 17	0.028	6.11
2023 07 04 18	0.052	17.74
2023 07 04 19	0.068	24.3
2023 07 04 20	0.076	28.24
2023 07 04 21	0.074	30.69
2023 07 04 22	0.066	31.55
2023 07 04 23	0.057	30.11
2023 07 05 00	0.057	31.47
2023 07 05 01	0.055	24.7
2023 07 05 02	0.052	18.77
2023 07 05 03	0.044	16.82
2023 07 05 04	0.031	20.13
2023 07 05 05	0.02	35.21
2023 07 05 06	0.015	55.3
2023 07 05 07	0.013	67.38
2023 07 05 08	0.008	90.0
2023 07 05 09	0.008	150.25
2023 07 05 10	0.015	183.81
2023 07 05 11	0.021	195.94
2023 07 05 12	0.027	203.74
2023 07 05 13	0.026	214.28
2023 07 05 14	0.026	229.63
2023 07 05 15	0.027	236.88
2023 07 05 16	0.029	241.69
2023 07 05 17	0.03	248.55
2023 07 05 18	0.029	264.09
2023 07 05 19	0.028	282.09
2023 07 05 20	0.028	299.24
2023 07 05 21	0.029	310.81
2023 07 05 22	0.028	320.71
2023 07 05 23	0.032	334.23
2023 07 06 00	0.038	346.32
2023 07 06 01	0.035	353.48
2023 07 06 02	0.028	355.91
2023 07 06 03	0.016	0.0
2023 07 06 04	0.001	45.0
2023 07 06 05	0.013	162.89
2023 07 06 06	0.025	168.69
2023 07 06 07	0.027	167.47
2023 07 06 08	0.025	166.5
2023 07 06 09	0.022	164.74
2023 07 06 10	0.022	161.56
2023 07 06 11	0.024	160.82
2023 07 06 12	0.028	161.56
2023 07 06 13	0.031	167.27
2023 07 06 14	0.036	175.23
2023 07 06 15	0.039	182.93
2023 07 06 16	0.037	192.2
2023 07 06 17	0.029	206.56
2023 07 06 18	0.017	246.37
2023 07 06 19	0.024	318.36
2023 07 06 20	0.042	344.98
2023 07 06 21	0.054	351.57
2023 07 06 22	0.057	354.98
2023 07 06 23	0.051	357.75
2023 07 07 00	0.044	357.39
2023 07 07 01	0.038	358.49
2023 07 07 02	0.035	0.0
2023 07 07 03	0.033	1.73
2023 07 07 04	0.03	5.71
2023 07 07 05	0.027	8.42
2023 07 07 06	0.021	13.39
2023 07 07 07	0.013	21.03
2023 07 07 08	0.009	23.96
2023 07 07 09	0.005	36.86
2023 07 07 10	0.005	180.0
2023 07 07 11	0.017	193.24
2023 07 07 12	0.028	196.5
2023 07 07 13	0.027	199.09
2023 07 07 14	0.017	208.07
2023 07 07 15	0.003	269.99
2023 07 07 16	0.013	8.74
2023 07 07 17	0.025	16.26
2023 07 07 18	0.031	20.13
2023 07 07 19	0.04	20.22
2023 07 07 20	0.046	19.98
2023 07 07 21	0.054	20.43
