Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2020 07 06 22	0.207	308.12
2020 07 06 23	0.206	292.42
2020 07 07 00	0.224	280.69
2020 07 07 01	0.273	276.64
2020 07 07 02	0.324	279.34
2020 07 07 03	0.368	285.67
2020 07 07 04	0.4	293.37
2020 07 07 05	0.421	300.95
2020 07 07 06	0.428	306.98
2020 07 07 07	0.416	311.56
2020 07 07 08	0.382	314.88
2020 07 07 09	0.337	314.87
2020 07 07 10	0.293	309.59
2020 07 07 11	0.274	298.21
2020 07 07 12	0.292	286.22
2020 07 07 13	0.344	277.97
2020 07 07 14	0.406	277.59
2020 07 07 15	0.461	281.85
2020 07 07 16	0.496	288.02
2020 07 07 17	0.516	294.67
2020 07 07 18	0.522	300.92
2020 07 07 19	0.509	307.13
2020 07 07 20	0.473	312.3
2020 07 07 21	0.42	314.86
2020 07 07 22	0.368	313.31
2020 07 07 23	0.332	306.76
2020 07 08 00	0.324	297.33
2020 07 08 01	0.333	288.82
2020 07 08 02	0.355	283.11
2020 07 08 03	0.381	282.8
2020 07 08 04	0.404	285.97
2020 07 08 05	0.417	290.8
2020 07 08 06	0.415	297.06
2020 07 08 07	0.403	304.09
2020 07 08 08	0.386	310.5
2020 07 08 09	0.359	313.77
2020 07 08 10	0.324	312.41
2020 07 08 11	0.296	306.14
2020 07 08 12	0.284	297.3
2020 07 08 13	0.287	289.41
2020 07 08 14	0.302	284.04
2020 07 08 15	0.316	281.69
2020 07 08 16	0.334	284.55
2020 07 08 17	0.344	290.99
2020 07 08 18	0.337	300.09
2020 07 08 19	0.316	311.69
2020 07 08 20	0.294	324.69
2020 07 08 21	0.268	336.85
2020 07 08 22	0.223	348.77
2020 07 08 23	0.164	2.0
2020 07 09 00	0.1	20.37
2020 07 09 01	0.06	68.93
2020 07 09 02	0.077	117.76
2020 07 09 03	0.095	137.44
2020 07 09 04	0.086	151.54
2020 07 09 05	0.058	164.86
2020 07 09 06	0.025	172.8
2020 07 09 07	0.012	64.91
2020 07 09 08	0.048	52.5
2020 07 09 09	0.08	64.56
2020 07 09 10	0.1	84.07
2020 07 09 11	0.124	109.02
2020 07 09 12	0.155	129.45
2020 07 09 13	0.182	142.29
2020 07 09 14	0.19	152.92
2020 07 09 15	0.17	165.18
2020 07 09 16	0.127	182.06
2020 07 09 17	0.076	207.03
2020 07 09 18	0.029	248.49
2020 07 09 19	0.037	27.43
2020 07 09 20	0.103	55.6
2020 07 09 21	0.16	68.6
2020 07 09 22	0.203	82.2
2020 07 09 23	0.239	98.52
2020 07 10 00	0.267	112.76
2020 07 10 01	0.282	122.81
2020 07 10 02	0.275	129.41
2020 07 10 03	0.251	132.94
2020 07 10 04	0.217	132.64
2020 07 10 05	0.185	125.87
2020 07 10 06	0.167	113.78
2020 07 10 07	0.174	102.42
2020 07 10 08	0.191	95.58
2020 07 10 09	0.205	92.46
2020 07 10 10	0.211	92.45
2020 07 10 11	0.21	97.13
2020 07 10 12	0.209	105.55
2020 07 10 13	0.215	117.12
2020 07 10 14	0.219	130.11
2020 07 10 15	0.216	142.62
2020 07 10 16	0.193	152.11
2020 07 10 17	0.141	157.71
2020 07 10 18	0.079	157.96
2020 07 10 19	0.025	132.87
2020 07 10 20	0.039	33.75
2020 07 10 21	0.084	22.48
2020 07 10 22	0.12	22.68
2020 07 10 23	0.134	26.17
2020 07 11 00	0.125	33.47
2020 07 11 01	0.102	47.13
2020 07 11 02	0.079	71.68
2020 07 11 03	0.069	106.92
2020 07 11 04	0.07	135.05
2020 07 11 05	0.062	162.16
2020 07 11 06	0.048	207.02
2020 07 11 07	0.06	259.56
2020 07 11 08	0.09	288.67
2020 07 11 09	0.128	305.25
2020 07 11 10	0.159	315.09
2020 07 11 11	0.179	319.84
2020 07 11 12	0.183	321.29
2020 07 11 13	0.178	318.71
2020 07 11 14	0.169	311.95
2020 07 11 15	0.165	301.69
2020 07 11 16	0.173	291.51
2020 07 11 17	0.192	284.7
2020 07 11 18	0.213	284.57
2020 07 11 19	0.234	288.85
2020 07 11 20	0.257	294.52
2020 07 11 21	0.276	300.59
2020 07 11 22	0.291	306.15
2020 07 11 23	0.293	309.98
2020 07 12 00	0.283	311.54
2020 07 12 01	0.262	312.07
2020 07 12 02	0.241	312.18
2020 07 12 03	0.222	312.13
2020 07 12 04	0.21	312.13
2020 07 12 05	0.199	310.08
2020 07 12 06	0.188	304.73
2020 07 12 07	0.186	298.3
2020 07 12 08	0.193	295.59
2020 07 12 09	0.2	298.42
2020 07 12 10	0.213	302.76
2020 07 12 11	0.227	306.93
2020 07 12 12	0.233	309.25
2020 07 12 13	0.228	308.99
2020 07 12 14	0.214	306.96
2020 07 12 15	0.206	303.69
2020 07 12 16	0.215	300.53
2020 07 12 17	0.223	299.75
2020 07 12 18	0.219	299.39
2020 07 12 19	0.209	298.97
2020 07 12 20	0.201	300.18
2020 07 12 21	0.196	305.02
2020 07 12 22	0.184	314.13
2020 07 12 23	0.168	328.17
2020 07 13 00	0.148	345.33
2020 07 13 01	0.124	1.53
2020 07 13 02	0.097	17.56
2020 07 13 03	0.065	39.19
2020 07 13 04	0.045	79.86
2020 07 13 05	0.053	125.41
2020 07 13 06	0.07	154.14
2020 07 13 07	0.08	178.24
2020 07 13 08	0.086	208.67
2020 07 13 09	0.104	240.59
2020 07 13 10	0.123	262.55
2020 07 13 11	0.132	277.82
2020 07 13 12	0.138	290.0
2020 07 13 13	0.141	298.39
2020 07 13 14	0.139	303.65
2020 07 13 15	0.125	307.68
2020 07 13 16	0.095	315.67
2020 07 13 17	0.057	331.02
2020 07 13 18	0.024	11.71
2020 07 13 19	0.017	103.47
2020 07 13 20	0.022	157.58
2020 07 13 21	0.027	197.66
2020 07 13 22	0.022	221.69
2020 07 13 23	0.001	354.34
2020 07 14 00	0.032	53.59
2020 07 14 01	0.061	60.79
2020 07 14 02	0.078	72.82
2020 07 14 03	0.082	92.61
2020 07 14 04	0.095	117.22
2020 07 14 05	0.129	135.86
2020 07 14 06	0.169	150.97
2020 07 14 07	0.172	162.81
2020 07 14 08	0.139	177.16
2020 07 14 09	0.1	198.69
2020 07 14 10	0.072	221.65
2020 07 14 11	0.045	234.86
2020 07 14 12	0.011	243.29
2020 07 14 13	0.016	54.26
2020 07 14 14	0.034	67.82
2020 07 14 15	0.041	92.82
2020 07 14 16	0.058	129.64
2020 07 14 17	0.089	156.48
2020 07 14 18	0.124	178.24
2020 07 14 19	0.139	198.5
2020 07 14 20	0.117	220.28
2020 07 14 21	0.083	246.01
2020 07 14 22	0.042	282.4
2020 07 14 23	0.04	13.11
2020 07 15 00	0.074	41.21
2020 07 15 01	0.116	52.32
2020 07 15 02	0.141	60.89
2020 07 15 03	0.152	72.06
2020 07 15 04	0.16	87.93
2020 07 15 05	0.17	105.81
2020 07 15 06	0.184	123.87
2020 07 15 07	0.188	140.35
2020 07 15 08	0.167	153.68
2020 07 15 09	0.118	165.31
2020 07 15 10	0.068	176.5
2020 07 15 11	0.033	175.94
2020 07 15 12	0.016	124.53
2020 07 15 13	0.029	68.92
2020 07 15 14	0.047	59.98
2020 07 15 15	0.056	65.3
2020 07 15 16	0.061	81.4
2020 07 15 17	0.07	104.77
2020 07 15 18	0.088	126.24
2020 07 15 19	0.103	142.51
2020 07 15 20	0.1	150.97
2020 07 15 21	0.069	151.01
2020 07 15 22	0.035	130.56
2020 07 15 23	0.032	75.54
2020 07 16 00	0.056	58.54
2020 07 16 01	0.079	55.08
2020 07 16 02	0.095	54.66
2020 07 16 03	0.104	58.18
2020 07 16 04	0.107	66.23
2020 07 16 05	0.108	78.75
2020 07 16 06	0.113	97.09
2020 07 16 07	0.122	116.75
2020 07 16 08	0.13	133.13
2020 07 16 09	0.118	145.67
2020 07 16 10	0.088	158.14
2020 07 16 11	0.045	178.9
2020 07 16 12	0.021	262.24
2020 07 16 13	0.052	322.75
2020 07 16 14	0.092	336.5
2020 07 16 15	0.122	342.92
2020 07 16 16	0.136	347.31
2020 07 16 17	0.133	349.66
2020 07 16 18	0.122	350.21
2020 07 16 19	0.105	345.22
2020 07 16 20	0.087	335.74
2020 07 16 21	0.079	324.55
2020 07 16 22	0.082	315.27
2020 07 16 23	0.09	311.23
2020 07 17 00	0.105	314.11
2020 07 17 01	0.126	321.71
2020 07 17 02	0.153	330.72
2020 07 17 03	0.177	336.72
2020 07 17 04	0.186	339.59
2020 07 17 05	0.176	339.79
2020 07 17 06	0.153	335.75
2020 07 17 07	0.131	325.19
2020 07 17 08	0.125	307.5
2020 07 17 09	0.144	290.91
2020 07 17 10	0.18	281.62
2020 07 17 11	0.221	278.92
2020 07 17 12	0.269	282.32
2020 07 17 13	0.313	289.67
2020 07 17 14	0.345	298.25
2020 07 17 15	0.366	306.03
2020 07 17 16	0.372	310.9
2020 07 17 17	0.361	312.72
2020 07 17 18	0.34	312.5
2020 07 17 19	0.316	310.15
2020 07 17 20	0.292	305.7
2020 07 17 21	0.279	299.55
2020 07 17 22	0.285	291.9
2020 07 17 23	0.315	285.52
2020 07 18 00	0.363	283.29
2020 07 18 01	0.408	285.55
2020 07 18 02	0.432	290.91
2020 07 18 03	0.44	297.26
2020 07 18 04	0.433	303.27
2020 07 18 05	0.417	306.78
2020 07 18 06	0.398	307.04
2020 07 18 07	0.376	305.05
2020 07 18 08	0.353	302.08
2020 07 18 09	0.339	298.66
2020 07 18 10	0.337	294.99
2020 07 18 11	0.347	291.68
2020 07 18 12	0.37	288.95
2020 07 18 13	0.395	287.53
2020 07 18 14	0.414	289.31
2020 07 18 15	0.419	293.44
2020 07 18 16	0.417	298.47
2020 07 18 17	0.403	303.07
2020 07 18 18	0.382	305.89
2020 07 18 19	0.359	305.89
2020 07 18 20	0.338	304.13
2020 07 18 21	0.321	302.28
2020 07 18 22	0.304	301.83
2020 07 18 23	0.283	302.26
2020 07 19 00	0.261	300.81
2020 07 19 01	0.243	297.6
2020 07 19 02	0.233	294.0
2020 07 19 03	0.232	294.9
2020 07 19 04	0.229	301.06
2020 07 19 05	0.219	309.67
2020 07 19 06	0.201	317.06
2020 07 19 07	0.169	319.87
2020 07 19 08	0.132	316.65
2020 07 19 09	0.103	304.52
2020 07 19 10	0.085	281.08
2020 07 19 11	0.093	249.64
2020 07 19 12	0.128	234.93
2020 07 19 13	0.174	233.04
2020 07 19 14	0.218	241.91
2020 07 19 15	0.244	256.4
2020 07 19 16	0.249	273.62
2020 07 19 17	0.239	291.59
2020 07 19 18	0.217	309.01
2020 07 19 19	0.178	325.94
2020 07 19 20	0.134	346.68
2020 07 19 21	0.095	17.1
2020 07 19 22	0.087	63.37
2020 07 19 23	0.12	98.12
2020 07 20 00	0.158	115.84
2020 07 20 01	0.176	127.56
2020 07 20 02	0.154	137.88
2020 07 20 03	0.098	145.85
2020 07 20 04	0.042	160.68
2020 07 20 05	0.007	236.56
2020 07 20 06	0.02	352.38
2020 07 20 07	0.026	38.73
2020 07 20 08	0.037	93.66
2020 07 20 09	0.066	126.2
2020 07 20 10	0.099	139.72
2020 07 20 11	0.123	147.1
2020 07 20 12	0.135	152.64
2020 07 20 13	0.122	162.97
2020 07 20 14	0.093	187.02
2020 07 20 15	0.078	231.9
2020 07 20 16	0.087	273.21
2020 07 20 17	0.098	307.45
2020 07 20 18	0.114	338.73
2020 07 20 19	0.129	359.45
2020 07 20 20	0.123	14.05
2020 07 20 21	0.101	29.02
2020 07 20 22	0.075	50.27
2020 07 20 23	0.068	80.51
2020 07 21 00	0.084	98.17
2020 07 21 01	0.096	105.13
2020 07 21 02	0.097	110.66
2020 07 21 03	0.083	110.65
2020 07 21 04	0.064	94.82
2020 07 21 05	0.06	65.76
2020 07 21 06	0.074	47.17
2020 07 21 07	0.088	48.12
2020 07 21 08	0.089	60.43
2020 07 21 09	0.084	84.38
2020 07 21 10	0.085	113.16
2020 07 21 11	0.099	137.43
