Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2020 07 13 19	35.018
2020 07 13 20	35.018
2020 07 13 21	35.018
2020 07 13 22	35.018
2020 07 13 23	35.018
2020 07 14 00	34.994
2020 07 14 01	34.994
2020 07 14 02	34.994
2020 07 14 03	34.994
2020 07 14 04	34.994
2020 07 14 05	34.994
2020 07 14 06	34.994
2020 07 14 07	34.994
2020 07 14 08	34.994
2020 07 14 09	34.994
2020 07 14 10	34.994
2020 07 14 11	34.994
2020 07 14 12	34.994
2020 07 14 13	34.994
2020 07 14 14	34.994
2020 07 14 15	34.994
2020 07 14 16	34.994
2020 07 14 17	34.994
2020 07 14 18	34.994
2020 07 14 19	34.994
2020 07 14 20	34.994
2020 07 14 21	34.994
2020 07 14 22	34.994
2020 07 14 23	34.994
2020 07 15 00	35.036
2020 07 15 01	35.036
2020 07 15 02	35.036
2020 07 15 03	35.036
2020 07 15 04	35.036
2020 07 15 05	35.036
2020 07 15 06	35.036
2020 07 15 07	35.036
2020 07 15 08	35.036
2020 07 15 09	35.036
2020 07 15 10	35.036
2020 07 15 11	35.036
2020 07 15 12	35.036
2020 07 15 13	35.036
2020 07 15 14	35.036
2020 07 15 15	35.036
2020 07 15 16	35.036
2020 07 15 17	35.036
2020 07 15 18	35.036
2020 07 15 19	35.036
2020 07 15 20	35.036
2020 07 15 21	35.036
2020 07 15 22	35.036
2020 07 15 23	35.036
2020 07 16 00	34.894
2020 07 16 01	34.894
2020 07 16 02	34.894
2020 07 16 03	34.894
2020 07 16 04	34.894
2020 07 16 05	34.894
2020 07 16 06	34.894
2020 07 16 07	34.894
2020 07 16 08	34.894
2020 07 16 09	34.894
2020 07 16 10	34.894
2020 07 16 11	34.894
2020 07 16 12	34.894
2020 07 16 13	34.894
2020 07 16 14	34.894
2020 07 16 15	34.894
2020 07 16 16	34.894
2020 07 16 17	34.894
2020 07 16 18	34.894
2020 07 16 19	34.894
2020 07 16 20	34.894
2020 07 16 21	34.894
2020 07 16 22	34.894
2020 07 16 23	34.894
2020 07 17 00	34.924
2020 07 17 01	34.924
2020 07 17 02	34.924
2020 07 17 03	34.924
2020 07 17 04	34.924
2020 07 17 05	34.924
2020 07 17 06	34.924
2020 07 17 07	34.924
2020 07 17 08	34.924
2020 07 17 09	34.924
2020 07 17 10	34.924
2020 07 17 11	34.924
2020 07 17 12	34.924
2020 07 17 13	34.924
2020 07 17 14	34.924
2020 07 17 15	34.924
2020 07 17 16	34.924
2020 07 17 17	34.924
2020 07 17 18	34.924
2020 07 17 19	34.924
2020 07 17 20	34.924
2020 07 17 21	34.924
2020 07 17 22	34.924
2020 07 17 23	34.924
2020 07 18 00	35.225
2020 07 18 01	35.225
2020 07 18 02	35.225
2020 07 18 03	35.225
2020 07 18 04	35.225
2020 07 18 05	35.225
2020 07 18 06	35.225
2020 07 18 07	35.225
2020 07 18 08	35.225
2020 07 18 09	35.225
2020 07 18 10	35.225
2020 07 18 11	35.225
2020 07 18 12	35.225
2020 07 18 13	35.225
2020 07 18 14	35.225
2020 07 18 15	35.225
2020 07 18 16	35.225
