Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2020 06 28 03	0.9	6.25	9.1	325	0.0	180	0.9	6.25	325	0.01	15.66	80
2020 06 28 04	0.89	6.19	9.1	324	0.0	180	0.89	6.19	324	0.01	14.44	79
2020 06 28 05	0.87	6.13	9.1	324	0.0	180	0.78	5.75	319	0.38	9.58	346
2020 06 28 06	0.85	6.09	8.27	324	0.0	180	0.85	6.09	324	0.01	14.42	79
2020 06 28 07	0.83	6.04	8.27	324	0.0	180	0.83	6.04	324	0.01	14.42	79
2020 06 28 08	0.81	6.0	8.27	324	0.0	180	0.81	6.0	324	0.01	14.42	79
2020 06 28 09	0.8	5.97	8.27	324	0.0	180	0.8	6.01	324	0.01	14.42	79
2020 06 28 10	0.78	5.93	8.27	324	0.01	60	0.78	5.98	324	0.01	14.42	79
2020 06 28 11	0.76	5.9	8.27	324	0.0	180	0.76	5.96	324	0.01	14.42	79
2020 06 28 12	0.74	5.88	8.27	324	0.0	180	0.74	5.94	324	0.01	14.42	79
2020 06 28 13	0.73	5.87	8.27	324	0.0	180	0.73	5.92	324	0.01	14.42	79
