Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 07 26 03	19.684
2020 07 26 04	19.636
2020 07 26 05	19.619
2020 07 26 06	19.645
2020 07 26 07	19.71
2020 07 26 08	19.794
2020 07 26 09	19.907
2020 07 26 10	20.067
2020 07 26 11	20.248
2020 07 26 12	20.396
2020 07 26 13	20.606
2020 07 26 14	20.867
2020 07 26 15	21.076
2020 07 26 16	21.197
2020 07 26 17	21.213
2020 07 26 18	21.11
2020 07 26 19	20.975
2020 07 26 20	20.859
2020 07 26 21	20.749
2020 07 26 22	20.629
2020 07 26 23	20.515
2020 07 27 00	20.434
2020 07 27 01	20.352
2020 07 27 02	20.257
2020 07 27 03	20.163
2020 07 27 04	20.073
2020 07 27 05	19.974
2020 07 27 06	19.897
2020 07 27 07	19.915
2020 07 27 08	20.03
2020 07 27 09	20.202
2020 07 27 10	20.368
2020 07 27 11	20.568
2020 07 27 12	20.842
2020 07 27 13	21.145
2020 07 27 14	21.462
2020 07 27 15	21.764
2020 07 27 16	22.007
2020 07 27 17	22.172
2020 07 27 18	22.237
2020 07 27 19	22.137
2020 07 27 20	22.019
2020 07 27 21	21.918
2020 07 27 22	21.806
2020 07 27 23	21.695
2020 07 28 00	21.578
2020 07 28 01	21.459
2020 07 28 02	21.378
2020 07 28 03	21.379
2020 07 28 04	21.418
2020 07 28 05	21.453
2020 07 28 06	21.497
2020 07 28 07	21.556
2020 07 28 08	21.613
2020 07 28 09	21.652
2020 07 28 10	21.669
2020 07 28 11	21.633
2020 07 28 12	21.544
2020 07 28 13	21.409
2020 07 28 14	21.221
2020 07 28 15	21.066
2020 07 28 16	20.927
2020 07 28 17	20.84
2020 07 28 18	20.782
2020 07 28 19	20.726
2020 07 28 20	20.644
2020 07 28 21	20.535
2020 07 28 22	20.427
2020 07 28 23	20.334
2020 07 29 00	21.427
2020 07 29 01	21.374
2020 07 29 02	21.299
2020 07 29 03	21.192
2020 07 29 04	21.043
2020 07 29 05	20.853
2020 07 29 06	20.644
2020 07 29 07	20.465
2020 07 29 08	20.356
2020 07 29 09	20.321
2020 07 29 10	20.344
2020 07 29 11	20.381
2020 07 29 12	20.42
2020 07 29 13	20.437
2020 07 29 14	20.42
2020 07 29 15	20.373
2020 07 29 16	20.298
2020 07 29 17	20.194
2020 07 29 18	20.042
2020 07 29 19	19.839
2020 07 29 20	19.62
2020 07 29 21	19.434
2020 07 29 22	19.305
2020 07 29 23	19.265
2020 07 30 00	19.305
2020 07 30 01	19.353
2020 07 30 02	19.377
2020 07 30 03	19.382
2020 07 30 04	19.363
2020 07 30 05	19.312
2020 07 30 06	19.22
2020 07 30 07	19.109
2020 07 30 08	19.024
2020 07 30 09	19.023
2020 07 30 10	19.144
2020 07 30 11	19.36
2020 07 30 12	19.665
2020 07 30 13	20.018
2020 07 30 14	20.357
2020 07 30 15	20.6
2020 07 30 16	20.426
2020 07 30 17	20.49
2020 07 30 18	20.564
2020 07 30 19	20.457
2020 07 30 20	20.101
2020 07 30 21	19.978
2020 07 30 22	19.93
2020 07 30 23	19.853
2020 07 31 00	19.778
2020 07 31 01	19.774
2020 07 31 02	19.773
2020 07 31 03	19.73
2020 07 31 04	19.687
2020 07 31 05	19.656
2020 07 31 06	19.618
2020 07 31 07	19.565
2020 07 31 08	19.498
2020 07 31 09	19.446
2020 07 31 10	19.513
2020 07 31 11	19.695
2020 07 31 12	19.905
2020 07 31 13	20.084
2020 07 31 14	20.219
2020 07 31 15	20.37
2020 07 31 16	20.544
2020 07 31 17	20.68
2020 07 31 18	20.728
2020 07 31 19	20.642
2020 07 31 20	20.49
2020 07 31 21	20.333
2020 07 31 22	20.222
2020 07 31 23	20.195
2020 08 01 00	20.24
2020 08 01 01	20.282
2020 08 01 02	20.3
2020 08 01 03	20.283
2020 08 01 04	20.266
